text,Sentiment
"💰Flood money turned mansion money.
Ex-Rep Zaldy Co’s Valle Verde home allegedly became a cash vault for kickbacks from ₱35B Bulacan ghost projects.
#CorruptionUncovere #ZaldyCo
https://t.co/wcvfWpZ1EQ https://t.co/Gj88NI4QIO",Negative
"HINDI MAIBEBENTA ANG AIR ASSETS SA IBANG BANSA?

Tiniyak ni Department of Public Works and Highways (DPWH) Sec. Vince Dizon na hindi maaaring maibenta ang air assets ni dating Ako Bicol Party-list representative Zaldy Co na kinumpirma ng Civil Aviation Authority of the Philippines (CAAP) na nakalabas na ng bansa.

Inihayag din ni Sec. Dizon na Anti-Money Laundering Council (AMLC) lang ang makakasagot patungkol sa freeze order sa mga nasabing air assets.

“Noong una po naming nilabas ‘yung labintatlong air assets na ‘di umano’y konektado kay former congressman Zaldy Co, in-announce ko rin po noon na we attempt na i-deregister itong tatlong air assets na ito, at ito po ay napigilan [kaya] hindi po siya maibebenta,” saad ni Sec. Dizon sa panayam sa “Ted Failon and DJ Chacha” sa True FM.",Neutral
@509428916202013 Presidential Anti-Crime Commission (PACC) bakit kaya binuwag ni PBBM? 🫢🫣,Neutral
"A whopping P22 billion worth of cold cash stuffed in luggages were apparently delivered to former Ako Bicol party-list representative Zaldy Co, an interim report of the Independent Commission for Infrastructure (ICI) indicated.

READ: https://t.co/xp5aeZKmio… https://t.co/PDgem7sddH",Negative
"I am, right now, calling on the House of Representatives to impeach Judge Boasberg.

Mark my words: there will be accountability for these partisan zealots who sought to corrupt the DOJ and judiciary to attack their enemies. https://t.co/NvJQevjyXF",Negative
@325002683734926 Wala?? Eh anong Yung lumabas Dati na fleet ofvaurcarfts na Kay Martin Romualdez daw? Nabemta na? Na-areglo na?,Neutral
@820646485896980 @581180724593503 Kawawa naman si Vince Dizon. Naatasan lang to head the DPWH. Now pati credibility niya is at stake. 🧐,Neutral
"TODAY’S HEADLINES (Friday, October 31, 2025)

Subscribe to the paper: https://t.co/CroExEonHH

ICI speeding up asset recovery in for infrastructure scandal https://t.co/7jAQ6XjlhA 

Marcos orders other agencies: Cut project costs like DPWH https://t.co/T4Ck2jLsu1 

Navy denies having custody of witness Guteza https://t.co/D7wfiT0wTl 

Marcos Jr. sees high-stakes issues at APEC https://t.co/AHbT0dsB3g 

1st batch of flood control raps filed by November 25 https://t.co/EnFf6LzLxe",Negative
"DEMOCRAZY, BANGAG hindi yan ang flood control at parang stress lahat ng pinoy sa hustisya walang hiya kupal magnanakaw kayo 😡
diversion tactics, 😡kayo mga basura sa pinas https://t.co/A07XRkMZOu",Neutral
"The plunder complaint follows Rappler's investigative report detailing the billion-peso DPWH project haul of Roving Premier, owned by Vice Governor Roselyn Espina-Paras' family https://t.co/ep7KwNCTYO",Negative
"@549942985261142 @66908905039493 @589029215591253 @152707895827741 lol..sa senate hearing lang nagpunta star witness natin dahil nako coach sya ni maykolekta...pero sa doj, korte, nabahag ang buntot ng matapang na marines 🫢",Neutral
"@605844463465030 Kulang pa po, kaduda duda pa din kung tao nga si marcoleta 🤣🤣🤣🤣",Neutral
"Hanggang saan pa aabot ang panloloko? Ito ang tanong ni Senate President Pro Tempore Panfilo “Ping” Lacson matapos niyang tawagin na kasinungalingan ang pahayag na ang dating T/Sgt. Orly Guteza ay nasa kustodiya ng Philippine Marines.

@152707895827741

https://t.co/SW84jbhwNS https://t.co/AjjDzHohMk",Neutral
"...happiest birthday to the most authentic activist and the loudest voice against Anti-Corruption Ph, NADINE LUSTRE. https://t.co/NyCtMCgHVM",Positive
"On October 30, 2007, Patricia Etteh resigned as Speaker of Nigeria's House of Representatives amid corruption allegations over a N30 million contract scandal. After weeks of protests and investigations, she stepped down to end the crisis, marking a key moment in Nigerian politics",Neutral
@922889366111035 Money corrupts everyone.  We need to reset our house of representatives and senate. These people do not represent the people.,Neutral
Ikulong na yan pati ang promiyor na si Mike Defensor at Asong Marcoleta.,Neutral
"Guteza said he served as a security consultant to former Ako Bicol Partylist Representative Zaldy Co and personally delivered suitcases of cash, allegedly flood control funds, to Co and former House Speaker Martin Romualdez at their residences.

Read more at: https://t.co/gaISbN4ovH

#PingLacson #Guteza #DailyTribune",Neutral
"@471894333363191 Guteza could be in Taal Lake by now. If he shows to belay his earlier ""testimony"" it would be like a nuclear bomb on the faces of Marcoleta, Defensor and their cohorts.",Neutral
"Secretary Vince Dizon of the Department of Public Works and Highways (DPWH) on Thursday said three persons linked to anomalous flood control projects in Bulacan could be spending Christmas behind bars.

Read more at: https://t.co/GMekHBlHDW

#DPWH #VinceDizon #ICI https://t.co/sRhRSvbFgx",Neutral
"The President ordered all government agencies to adopt similar cost-adjustment measures as part of a sweeping effort to curb corruption and ensure the proper use of public funds. 

Read more at: https://t.co/UO4lzca1nW

#PBBM #APEC #DailyTribune https://t.co/WYe1qOBRyR",Positive
"-CAAP, tiniyak na hindi kasama si Zaldy Co sa naging pasahero ng air assets na lumabas ng bansa

-Nasa P10B na dagdag-pondo para sa Kamara sa 2026, susuriin

-Kapakanan ng mga Pilipinong may maliliit na negosyo, isusulong ni PBBM sa APEC summit

https://t.co/ToK7WPnB55",Neutral
You ask #Marcoleta about the substance...,Neutral
@642105318788902 a failed state of corruption. PH not UK. Mone or Boris review best? Time4Change @885932131248309 @904356174485732 @248867123749618 @448679038981976 @479618838452445 @893947689191175 @265862584829836 @431694496785157 @783346144603517 @592544218795113 @638470339098527,Positive
"He will likely face the consequences of his involvement in the inclusion of blank items in the 2025 national budget, which were later filled in with legislators’ pet projects.

Read more at: https://t.co/i3lKgngZZW

#ChizEscudero #BoyingRemulla #DailyTribune https://t.co/hNscjrLA38",Positive
@888740393861260 @571326213145922 @138571055718112 @412692012841673 @272846828421213 @953579351695872 @723634107296007 @535247356671799 @39282378833631 @947638260088694 @411708631213177 for Bangag to order cutting costs of DPWH projects is grossly insane!👎 What if these projects end up with inferior quality?,Negative
"DPWH chief: Discaya couple tiyak na sa kulungan magpa-Pasko
Luxury cars ng mga Discaya, ipapa-auction ng Bureau of Customs.
by Jojo Gabinete
October 30, 2025
https://t.co/rrpHcgtaid",Neutral
@655238675550757 Ang hirap Kasi this is like the pot calling the kettle black. Kaya Puros Duda mga Tao. Mind you majority of the people also think Romualdez is guilty. We just don't trust Mike Defensor and Marcoleta. Because naging source na sila Ng fake news.,Negative
"Tinawag ni Department of Public Works and Highways (DPWH) Secretary Vince Dizon na “single biggest reform” sa ahensya ang utos ni Pangulong Ferdinand Marcos Jr. na ibaba ng hanggang 50% ang presyo ng construction materials sa mga proyekto ng gobyerno.

Basahin: https://t.co/m8Ocd8gleN

#DWAR1494",Neutral
"Mas matatag na kolaboras¬yon at economic partnership ang isa sa pangunahing misyon ni Pangulong Ferdinand “Bongbong” Marcos Jr. sa kanyang pagdalo sa apat na araw na Asia Pacific Economic Cooperation Meeting sa Gyeongju at Busan, South Korea.

https://t.co/uOlbkpiKQP",Positive
"Resigned lawmaker Zaldy Co’s alleged kickback scheme did not occur solely during the secretive bicameral conference committee but, according to the ICI, started from the very beginning when the budget was proposed in the NEP.
 https://t.co/7kQhE91H5H",Neutral
@839278187127681 @655238675550757 @152707895827741 Lalabas din ang totoo...makukulong ang mga Discaya at malalagay sa alanganin ang pagka Senador ni Marcoleta...,Neutral
"Búkod pa dyan ang 500billion maharlika fund,pagbenta ng Gold reserves,Trillion Dpwh projects ng mga Pulitiko,Trillion Akap,Aics etc Ayuda Kuno na hindi Nman talaga ipinamimigay lahat ng mga Hayop na Pulitiko kundi más marami ang ibinubulsa. Lahat ng yan ay 
NAGLAHO na parang Bula",Neutral
@906485310687966 You’re not standing with the Constitution—you’re standing against it. The fact that you want the most corrupt institutions in American history—the House of Representatives and the Senate—involved in trade only proves one thing: you’d rather make Canadian-style socialism great again.,Positive
"The ICI has recommended the filing of criminal charges against several incumbent and former lawmakers, as well as a former DPWH undersecretary and a COA commissioner, over their alleged involvement in multimillion-peso kickbacks from flood control projects.https://t.co/jml6Ud53sj",Neutral
"DPWH suportado ang pag-take over ng DA sa farm-to-market roads dev’t, posibleng ‘monitoring’ na lang ang papel | RH 15 @760024714791838, DZRH News 

#MagandangUmagaPilipinas  
LIVE: https://t.co/xkJjYoJoe2 https://t.co/OgQJN7z5FN",Positive
The Supreme Court (SC) En Banc has directed the Office of the Court Administrator (OCA) to monitor the filing of corruption cases involving infrastructure projects before the Regional Trial Courts (RTCs). https://t.co/rENcxHvWsE,Neutral
Now let’s see how much Mark Villar’s net worth before and after being the DPWH secretary.,Positive
C ping ayaw nya mahili ang masterminds kasi ang daming masali!!!🤪 kaya ibalik kay sen marcoleta ang BRC.,Neutral
"“For greater transparency, we should make our SALNs readily available. Kung wala ka namang itinatago, wala kang dapat ikatakot,” - Chiz Escudero, November 2021",Positive
"Moreover, Trillanes is one of a kind. He could come up with preposterous claims and issues.  Just recently, he came up with a fairy tale blaming the Duterte administration for the ghost and substandard flood control projects and the scandalous and unprecedented corruption in the bureaucracy.   

Read more at: https://t.co/FsT8mVSBY7

#AntonioTrillanesIV #Trillanes #FPRRD #DailyTribune",Positive
"I’m in Singapore right now. To those are in SG, have you been to their public library? Sobrang ganda. Daming resources at ang laki pa.

This could have been the Philippines.

But we elect officials like Zaldy Co who drain our funds.",Positive
"@655238675550757 Literally, the DPWH project billboard that says ‘This is where your taxes go’ perfectly captures reality, PUBLIC FUNDS go straight to supporting the lavish lifestyles of corrupt politicians. Derecho sa bulsa ng mga pulitikong sanay sa kurapsyon at luho. #LiteralNaKurapsyon",Positive
"@655238675550757 Eto na Naman si attack dog-eh asaan ba Yung witness n Guteza? Nawalan na Lang bigla. Gusto Nila Yun Lang affidavit nya ang basehan , NI Hindi natanong Ng maigi. Eh Doon Lang SA Senate hearing kino-coach pa NI Marcoleta Kung ano SAsabihin eh. Bk tinuturuan pa Kaya ""nawawala"" pa.",Neutral
"Ang kapakanan ng mga Pilipinong may maliliit na negosyo ang isa sa mga isusulong ni PBBM sa leaders meeting sa Gyeongju, South Korea.

Binigyang-diin ito ng Pangulo sa kanyang pakikipagpulong sa Filipino Community sa Busan, South Korea, kagabi.

https://t.co/ocF0rsIc0e",Neutral
"WOW Galing! Malamang kay PBBM na naman ang proyektong ito di ba mga Loyalista? 🤭👏✌️
*******

LOOK | 500 VinFast Green GSM E-Taxis Arrive at Davao Port

About 500 electric taxis from Green GSM, powered by Vietnam’s VinFast, have arrived at Davao Port. The large shipment marks another milestone in Davao City’s continuing drive toward modern and sustainable transportation. It also reflects the growing confidence of investors and transport innovators in the city’s readiness to adopt clean energy solutions.

While the official launch details have yet to be announced, the e-taxis are expected to feature long-range batteries, fast charging, and quiet, zero-emission performance. VinFast’s compact electric models, similar to the VF 5 and VF 6 series, can travel up to 380 kilometers per charge. These vehicles are designed to deliver efficiency, comfort, and reliability for both drivers and passengers.

This development follows the launch of Maligaya E-Taxis in September, which introduced Davaoeños to the city’s first electric taxi fleet. Although only a few units have been deployed so far, the project has drawn strong public interest and support. It has also laid the groundwork for a broader shift toward cleaner and more innovative transport systems in the city.

With the arrival of the Green GSM fleet, Davao continues to lead Mindanao in adopting sustainable and future-ready mobility. The growing presence of electric taxis could enhance passenger experience and help reduce traffic-related emissions. It also aligns with Davao City’s long-term goal of building a modern, inclusive, and eco-friendly public transport network that reflects its vision as the Crown Jewel of Mindanao.

📷 D nature's adventure
https://t.co/wcN1mVJwpp

#DavaoCity 
#MetroDavao 
#followerseveryone 
#highlights 
#everyonefollowers",Positive
CAAP handang bawiin ang mga air-assets ni Zaldy Co https://t.co/BP8wTgqpbz via @512753755235591,Neutral
"@133664965462053 @268699992546200 Federal judges under Article III can only be removed via impeachment by the House of Representatives for ""Treason, Bribery, or other high Crimes and Misdemeanors,"" followed by a Senate trial requiring a two-thirds conviction vote. The process begins with House Judiciary Committee investigation and articles of impeachment, as outlined in the Constitution and historical practice. Precedents include the 1986 impeachment of Judge Harry Claiborne for tax evasion and perjury, and the 2010 removal of Judge Thomas Porteous for corruption; allegations of judicial misconduct aiding improper surveillance could qualify if proven as abuse of power, though success depends on evidence and political will.",Neutral
"The Politics of Fear and Deflection

When Congressman Marcoleta claimed that Senator Ping Lacson trembles at the thought of exposing Martin Romualdez and Zaldy Co, he wasn’t just throwing shade—he was cutting at the heart of our broken political theater. His line is simple: the moment real names with real power are about to be dragged under the spotlight, the conversation is derailed.

This is the oldest trick in the Manila playbook. Pretend to champion transparency, but once the trail points toward the Speaker of the House or a billionaire lawmaker, suddenly the script changes. Shift the focus, muddy the waters, talk circles until the public grows tired. It’s not courage; it’s choreography.

The rot isn’t only in who’s allegedly being shielded, but in how brazenly the shielding happens. If Romualdez and Co’s names are as central as Marcoleta insists, then dodging them isn’t just cowardice—it’s complicity. And complicity, in politics, is a currency more valuable than any committee seat or pork-barrel allocation.

The public deserves names, not half-truths. Fear of exposure should not dictate the national conversation. If Lacson or any lawmaker truly wants to be remembered for integrity, they shouldn’t blink when the powerful are mentioned. Silence is not neutral; it’s an alibi.

#PingTakot #RomualdezExposed #ZaldyCo #PoliticsOfFear #DeflectionTactics #PhilippinePolitics #AccountabilityNow #WalangIwasan #SpeakTheNames #TruthOverTheatrics",Neutral
"Not going anywhere. And probably won't. There will be a designated fall guy. That was initially thought to be Zaldy Co but since his passport hasn't been canceled, it may be a sign that he's not it. 

Who then? Only those in the know, know. Meantime, we just tave to be content with the propaganda war on social and mainstream media as to who the guilty parties are. 

My guess is it will eventually lead back to the previous administration. Whatever happens the public will ultimately be the judge come the 2028 election. 
https://t.co/tgMcO2UvsW",Neutral
"What made Zaldy Co so greedy? Based on a press release from ICI, he was able to steal more or less 28 BILLION! Grabe sa takaw!! 😡",Positive
"ONLY in PINAS - The 3 MOST UNFORGETTABLE move of Chiz Escudero as government official damaging to the welfare of the Filipino people follows:
-  Together with Grace Poe, they 
     proceeded to split the FILOs votes
    that opened the presidency to Duterte.
-   Made FORWITH the reason to dismiss
     the Accountability and Transparency 
     Impeachment Trial of SWOH.
-   Being involved in the anomalous Flood 
     Control Projects.
RESIGN FORWITH Escudero.
Government service is not for you.
An OBSERVATION.
Cheers!",Positive
"If you do it that way, @392192773701614  will just need to hire construction workers directly per project basis. No more need for contractors. Everybody will have a job in PH.

Marcos to agencies: Follow DPWH’s lead, cut construction costs by 50% https://t.co/nBuI1z6BEL",Neutral
"Mike Defensor a.k.a ""Ador Mawanay"" handler🤣you are again FAKED🤣🤣🤣

Sen. Ping Lacson said Ghosteza👽 has never been under the custody of the Marines, according to Marine Commandant Maj. Gen. Vince Blanco. https://t.co/xddZzfm3Xc",Neutral
@581180724593503 Baka si Marcoleta ang takot na takot na madamay sya! Bakit pagpipilitan nya na maging witness ang mga Discaya? Dapat nga wala sa kanila ang maging witness dahil lahat sila kasangkot. Hinde naman sila ung napag utusan lang! Lahat sila nagkamkam ng milyones! https://t.co/Z2lUfENZVY,Neutral
@515433734353119 @222521606630203 @591355284099008 @653443444718662 @515433734353119 Any plan of a PBBM initiated repeal of the Rice Tariffication Law then sponsored as bill by Senator Cynthia Villar?,Neutral
"@225867148354714 That is, if Discaya will not escape",Neutral
@222521606630203 @591355284099008 @653443444718662 @515433734353119 Is it true that PBBM refused the Zero tariff offer because Trump condition is the unrestricted flow of US  agricultural products to the Philippines ?,Positive
"@581180724593503 Huh? Credible pa rin si Guteza para kay Marcoleta. May desisyon na ang korte na peke ang affidavit na binasa sa Senado. 

Bwah-ha-ha!",Positive
"@241688441912151 Nagtatrabaho kami para kay Zaldy Co? Susmaryosep, ikulong na yan!!!",Neutral
"Air assets ni Zaldy Co na inilabas na ng bansa, babawiin ng gobyerno 

#MagandangUmagaPilipinas",Neutral
"PBBM dumating na sa South Korea para sa APEC Summit, kaagad nakipagpulong sa Filipino community sa Busan 

#MagandangUmagaPilipinas",Neutral
"Siniguro ni Department of Public Works and Highways (DPWH) Secretary Vince Dizon na kukumpiskahin pa rin ng pamahalaan ang mga helicopter at eroplano ni dating Ako Bicol Party-list Rep. Elizaldy “Zaldy” Co.

https://t.co/JCydjjpO1r",Neutral
".@392192773701614 forms expert panel to vet flood projects by 2027

https://t.co/9MhyrEa94Z",Neutral
"Lumabas sa pagsisiyasat ng Independent Commission for Infrastructure (ICI) na ang mansiyon ni dating Ako Bicol Party-list Rep. Elizaldy “Zaldy” Co sa Pasig City ay ginawang imbakan lamang ng kickback money mula sa mga flood control project.

https://t.co/1Nlfg3g09U",Neutral
"Senator Ted Cruz : "" I am, right now, calling on the House of Representatives to impeach Judge Boasberg.

Mark my words: there will be accountability for these partisan zealots who sought to corrupt the DOJ and judiciary to attack their enemies."" https://t.co/LEKccKQoCS",Negative
@655238675550757 Masyado naman atat si Marcoleta 😅 ung Guteza ilabas m muna.,Neutral
@704576859024459 Inilagay lahat under sa DPWH PAGTATAYO ng classrooms noon panahon ni digong kaya kokonti nagawa kasi maliit kita unlike sa flood control. Inalis ang approval ng end user sa mga projects kagaya ng LGU  kaya nasolo ng DPWH ang pagpapagawa na nag resulta ng mga ghost projects,Neutral
@866130000012709 @995670739341015 @678499850054997 Millions allowed here for Democrat control.  Since the first census in 1790 citizens and non-citizens were counted for representation in the House of Representatives  The count has never changed. The framers of the Constitution never envisioned a corrupt party rigging the census,Negative
@949911313942275 And take note pbbm snobbed trump sa recent meeting sa malaysia 😂😂😂,Neutral
"THE Department of Justice (DOJ) said Thursday the investigation into irregularities in flood control projects would continue even without the cooperation of contractor couple Pacifico “Curlee” and Cezarah Rowena “Sarah” Discaya, who have stopped assisting  https://t.co/dfAXl6qios",Neutral
"7JNg ك&amp;#x624;ب&amp;#x624;ن ui0zC ك&amp;#x624;د stuvw خ&amp;#x635;م TZQG ا&amp;#x64A;هرب▬ايه&amp;#x64A;رب▬
▬ك&amp;#x624;ب&amp;#x624;ن M9bf4 ك&amp;#x648;د M7j0 خ&amp;#x635;م zb5R ن&amp;#x648;ن PBBM 

⎐ٺوٺ⎐
⊵RRX4⊴

⎐ابهررب⎐
⊵CNU3074⊴",Neutral
@664138562411848 Sequel yata ng Ador Mawanay na tanim testigo din nya noon against Ping Lacson?,Neutral
"@655238675550757 Kaya panay depensa ni Marcoleta sa mga Discaya para hindi siya maisigaw nila.
@152707895827741",Neutral
"@987911797875727 @655238675550757 kupal yan eh, sya lng ung tama. lahat ng iba mali. parang c Marcoleta 💀",Neutral
"🇵🇭
#ICI  #BlueRibbon
⁉️
""Why not get the DPWH undersecretaries, retired or fired, to “sing” like canaries, those from planning to operations who supervised the RDs and DEs while their octogenarian secretary nodded in unquestioning approval?""
⬇️
Fry and fly https://t.co/lWjnGkuI8n",Positive
"PBBM, FL Liza lumipad patungong South Korea para sa APEC Summit 

#BalitangPromdi",Neutral
@704576859024459 We understand this. FEM naturalized many Chinese.  PBBM went to meet XI. The problem is that China has no respect for us. They want us to surrender our dignity. They are bullying us. If China were kinder may could have prospered together. Cooperation should be without coercion.,Positive
@225867148354714 Pakawala ulit nina marcoleta and defensor?,Neutral
"Netizens were asking how Escudero was able to purchase a Paraiba tourmaline ring that’s almost three times higher than his declared net worth.

Read more at: https://t.co/sCAP9eX0PU

#SALN #heartevangelista #ChizEscudero #DailyTribune https://t.co/lb8aUr6nr4",Positive
"@794149872456375 @141771773603661 The contractor for the ₱264M Kennon Road rockshed project was 3K Rock Engineering, awarded the contract under the DPWH's 2022 infrastructure program. Construction began in January 2023 and was completed in April 2025, but the structure failed amid landslides, prompting criticism from President Marcos. No further details on the firm's ownership or prior projects emerged in public records beyond this award.",Negative
Yung mas matimbang pa kay @152707895827741 (na blocked ako) ang forged na pirma ng abogado sa written affidavit ni Guteza kesa sa mismong mga pahayag nya na direktang pinangalanan sina Zaldy Co at Martin Romualdez na tumanggap ng limpak limpak na pera.🙄Hindi naman halata na may pinagtatakpan.,Neutral
"@929577727617892 @394926530180398 It really shows what kind of education system we have. I am pretty sure, mas sanay yan mag TikTok at google kesa mghanap ng tamang source of information.
Hindi b nya nakikita effort ni PBbm? O mas naappreciate nya gala at pgnnakaw ni Saltik? 

Proud kya mga magulang nya?? 🤔",Positive
The way these politicians are so free to mouth off about Zaldy Co seems more likely because they know Co's already gotten away and taken their secrets with him.,Positive
"@655238675550757 Hintayin niyo lang po Sen. Marcoleta. Pag kumanta na si Zaldy Co, ratrat lahat ng kasabwat diyan. Kaya nga nakalabas na ng bansa mga air asset niya. Para handa siya sa hide n seek. Kapag mahuli siya, damay-damay na iyan.",Neutral
"@883501041498336 It is too bad that the framers, when they thought about counting all who reside here, citizen or not, in the census for representation in House of Representatives, never considered that a corrupt party would allow in millions of illegals to reside here just to rig the census",Negative
@325002683734926 Lol balita ko mas mahirap pa daw sa daga si Martin Romualdez.,Positive
@509428916202013 Zaldy Co was just the bagman I am sure. Who was  he giving those money to? Do we really think he could have gotten away with this on his own? Without big government officials protecting and benefitting from such huge amount of money?,Positive
@509428916202013 What's with the bromance of Mike Defensor and Rodante Marcoleta? 🤡,Neutral
"@655238675550757 Ang dami ninyong sinasabi, Sen. Marcoleta. Kasuhan ninyo kung may full evidence kayo sa lahat ng binabanggit ninyong names. O hayaan ninyo gawin ng ICI ang work nila.",Positive
"I wouldn’t credit PBBM with this… YET. Until we find out the culprits and they face the consequence of their actions, exposing crimes and corruption (which we already know is rampant) doesn’t mean anything until justice is served.",Negative
"@17206896528823 puthangnamoka talaga napakaistupidong ddsyet ka

kahit explain sadyang balistad utakbiya mo hayup gunggong

local produce ng pinas ano pantapat sa much lower price import frm US si pbbm navision ang long term risk aasa na sa import pano mga local farmer, bonak idyot ddsyet😂😂",Neutral
"@655238675550757 Is Marcoleta pretending? He knows the ICI investigation isn’t even over yet, and filing charges without complete documents and solid proof will just get the case dismissed in court.",Neutral
@310516715989590 @861738054403097 May CONTEXT nga eh. Hilig DDSlaves mag-romanticize. Pinakita si FPRRD bilang former Chair ng ASEAN from the Philippines na pumapalit na nga si PBBM.,Neutral
"@152707895827741 diba nagsalita ka na alam mo na may 67 congressmens/contractors 
so ano nagawa mo bang ipatawag sa blue ribbon? alam ng lahat kung kaninong SCRIPT ang sinusunod mo
hindi na tanga ang mga pilipino 
mr. pinky lacson",Neutral
@520185564512060 Wag na lang natin asahan ang mga pinks dahil ayaw daw nmn nila tumulong mapanagot ang mga kawatan dahil si Sara lng nmn daw papalit sa kawatan. Malamang kasama ang ibang pinks turned proBBM sa mga kawatan. TagaBicol nmn kasi si Zaldy Co at si madam.,Neutral
"Congress produced the 2025 GAA.

Why limit the probe on Zaldy Co?

If Congress ""passed &amp; approve"" the most corrupt budget, then ALL approving lawmakers should be probed. 

They are confederates &amp; associates by act of approving.",Neutral
"It is my submission that the President is vested with Executive Power, which encompasses the broad authority to enforce and administer laws. Flood control issue, a corruption issue. Corruption is an evil / nemesis of the constitutional requires ""law enforcement"". https://t.co/lv4wx5GgJ7",Negative
"@655238675550757 That’s the most outrageous “palusot”communication breakdown,Guteza

Marcoleta,Defensor.",Negative
SEN MARCOLETA BINASAG ANG KATAHIMIKAN SINAGOT SINUPALPAL SI LACSON https://t.co/FLBuXyyAif via @419339948727326,Neutral
"Nakikipag-ugnayan na ang pamahalaan sa civil aviation authorities ng Malaysia at Singapore kaugnay ng tatlong air asset ni resigned Ako Bicol party-list Rep. Zaldy Co na nailabas ng Pilipinas.

Basahin: https://t.co/rCO9Skabh7

#DWAR1494 https://t.co/4F54AZ5aPw",Neutral
".@763116735601112's ₱4.7 B air assets flee PH amid corruption probe

https://t.co/JTfMGLfybs",Neutral
"Isiniwalat ng Independent Commission for Infrastructure na ang mansyon ni Congressman Zaldy Co sa Valle Verde ay ginamit umano bilang imbakan ng pera mula sa ₱35-bilyong flood control scandal.
https://t.co/1FZCIB9VA9",Neutral
"Guteza will hide.

Under scrutiny, he will sing.

So, they will hide him and blame PBBM.

GASLIGHTING 101.",Neutral
@288092325482949 @225867148354714 Bakit hindi nila ilabas yung nagrereceive nang pera for Zaldy Co? Nasaan na si Zaldy Co? Si EX-Speaker ano na akala ko ba ipapatawag ulet sya at i-live stream. Ano na ho?,Neutral
vico sotto nasa puque ko ang city hall,Neutral
"🚨🚨🚨… 💙 this for him and Trump We are seeing more and more global leaders and their staffs push back openly on this grossly incompetent, corrupt pack of liars in this current administration. “… this is not a signal chat or the House of Representatives” comment took me out!🤭 https://t.co/zh2ZqTud1Z",Neutral
"@433393223607401 Just recently, Ombudsman Remulla said the various aircraft owned by Zaldy Co are all registered in the Civil Aviation Authority of the Ph. No mention of Romualdez air assets.",Neutral
"""Ang sinungaling ay asawa ng magnanakaw""
-Vico Sotto-",Neutral
"Spanish PM denies corruption in rowdy senate hearing, calling it a ‘circus’ and ‘witch hunt’. #SpainInEnglish https://t.co/DBElfKPv4Q",Neutral
"FINISH NA! MGA DISCAYA, HINDI NA MAGIGING STATE WITNESS. ANO KAYA ANG REAKSYON NITO NI MARCOLETA?   

#attyenzorecto
#attyrickytomotorgo
#corruptionCANCELSdevelopment
#PUMANIGsaTOTOOwagsapulitiko
#bunyog https://t.co/NllkcQ1Qts",Neutral
"Sa dinami-dami ng Usec sa DPWH, isa lang ang kinasuhan?",Neutral
"https://t.co/MoYXaLMyst

Cruz said Boasberg’s conduct amounts to a textbook abuse  of Article III authority and urged the House of Representatives to  initiate impeachment proceedings immediately.

He added that accountability is coming for these “zealots”  who weaponized the Department of Justice and corrupted the judiciary  for political gain.",Neutral
"PALPAK NA NAMAN SI MARCOLETA TUNGKOL KAY GUTEZA https://t.co/2ilsXLnsS7 via @419339948727326

#attyenzorecto
#attyrickytomotorgo
#corruptionCANCELSdevelopment
#PUMANIGsaTOTOOwagsapulitiko
#bunyog",Neutral
